epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,730.296,0.65251,0.58832,1.16715,0.92143,0.90481,0.93679,0.76209,0.74222,0.57549,1.28253,0.000614,0.000614,0.000614
72,740.51,0.65889,0.5746,1.17212,0.94912,0.88569,0.94339,0.75794,0.73181,0.52118,1.30506,0.0005942,0.0005942,0.0005942
73,750.819,0.6536,0.56828,1.16734,0.91262,0.89021,0.93653,0.76445,0.77024,0.55947,1.32588,0.0005744,0.0005744,0.0005744
74,761.419,0.65703,0.57057,1.16102,0.94411,0.88724,0.93349,0.76423,0.74518,0.54388,1.29985,0.0005546,0.0005546,0.0005546
75,771.351,0.62761,0.55049,1.14497,0.93326,0.87537,0.93864,0.76948,0.71622,0.52006,1.26341,0.0005348,0.0005348,0.0005348
76,781.879,0.62962,0.55404,1.14762,0.94164,0.87834,0.93722,0.76691,0.73502,0.54549,1.28143,0.000515,0.000515,0.000515
77,792.263,0.64158,0.55561,1.15406,0.92826,0.88306,0.9343,0.76356,0.7254,0.53669,1.26914,0.0004952,0.0004952,0.0004952
78,802.953,0.63526,0.55244,1.15114,0.92433,0.87834,0.9264,0.75348,0.77772,0.54819,1.34542,0.0004754,0.0004754,0.0004754
79,817.351,0.62306,0.54603,1.14354,0.95093,0.88427,0.94511,0.76076,0.75689,0.53054,1.30474,0.0004556,0.0004556,0.0004556
80,827.26,0.61612,0.52869,1.13386,0.93064,0.88427,0.93431,0.76686,0.72533,0.57057,1.28832,0.0004358,0.0004358,0.0004358
81,837.403,0.61137,0.53547,1.13659,0.94494,0.89614,0.94035,0.76604,0.75354,0.55677,1.31289,0.000416,0.000416,0.000416
82,847.639,0.62668,0.5422,1.14324,0.90378,0.89021,0.93049,0.76561,0.75972,0.55166,1.31518,0.0003962,0.0003962,0.0003962
83,857.617,0.60241,0.52625,1.13009,0.91481,0.90208,0.9332,0.76455,0.76888,0.54202,1.33767,0.0003764,0.0003764,0.0003764
84,867.499,0.6085,0.52773,1.13029,0.94198,0.88427,0.92853,0.76318,0.76506,0.54606,1.33134,0.0003566,0.0003566,0.0003566
85,877.501,0.60309,0.5194,1.13008,0.94389,0.89852,0.94037,0.77705,0.74849,0.53504,1.29463,0.0003368,0.0003368,0.0003368
86,887.54,0.5948,0.50525,1.11498,0.93164,0.88966,0.93577,0.76773,0.75426,0.55188,1.31256,0.000317,0.000317,0.000317
87,897.503,0.58372,0.50468,1.1203,0.93796,0.89614,0.93435,0.78201,0.74313,0.54528,1.33165,0.0002972,0.0002972,0.0002972
88,907.422,0.59451,0.50532,1.11663,0.94601,0.88388,0.93415,0.77464,0.73926,0.52599,1.30878,0.0002774,0.0002774,0.0002774
89,917.264,0.60478,0.52382,1.12825,0.92657,0.89021,0.93445,0.77467,0.73836,0.51463,1.29258,0.0002576,0.0002576,0.0002576
90,927.032,0.57778,0.49454,1.11196,0.95237,0.88997,0.93901,0.77245,0.75162,0.51313,1.32836,0.0002378,0.0002378,0.0002378
91,937.756,0.48604,0.41128,1.05632,0.91855,0.89318,0.92805,0.75628,0.7415,0.54112,1.32512,0.000218,0.000218,0.000218
92,947.667,0.49218,0.36635,1.05286,0.94853,0.89021,0.93484,0.77098,0.6964,0.52533,1.26998,0.0001982,0.0001982,0.0001982
93,957.462,0.46598,0.33824,1.02821,0.9613,0.88456,0.93977,0.77893,0.69966,0.51306,1.28226,0.0001784,0.0001784,0.0001784
94,967.214,0.47225,0.35221,1.0366,0.93303,0.89614,0.93152,0.76863,0.71019,0.52497,1.29383,0.0001586,0.0001586,0.0001586
95,977.025,0.45405,0.33957,1.026,0.96176,0.89555,0.94083,0.7797,0.67416,0.50045,1.25148,0.0001388,0.0001388,0.0001388
96,986.86,0.44688,0.32692,1.02602,0.96163,0.89021,0.93549,0.78001,0.68079,0.50441,1.2599,0.000119,0.000119,0.000119
97,996.674,0.44381,0.32276,1.01442,0.96118,0.89318,0.93716,0.78098,0.6757,0.49806,1.25651,9.92e-05,9.92e-05,9.92e-05
98,1006.45,0.44255,0.31382,1.01558,0.96457,0.89318,0.93774,0.78305,0.68312,0.49174,1.269,7.94e-05,7.94e-05,7.94e-05
99,1016.24,0.43156,0.31799,1.01115,0.97066,0.88361,0.93886,0.78572,0.69011,0.49164,1.27034,5.96e-05,5.96e-05,5.96e-05
100,1025.99,0.44391,0.32762,1.0132,0.96448,0.88621,0.93456,0.78166,0.6785,0.47799,1.25998,3.98e-05,3.98e-05,3.98e-05
